day,date,temperature_C,salinity_psu,light_Wm2,fraction_of_day,air_temp_C,wind_speed_ms,elevation_m,depth_m,bg_light_ext_1m,ice_cover
234,2012-08-22,20.1147,0.1042,105.6461,0.5910,20.1147,4.0000,0.0000,1.5171,0.6000,0.0000
235,2012-08-23,19.2531,0.1042,188.1217,0.5879,19.2531,4.0000,0.0000,1.5171,0.6000,0.0000
236,2012-08-24,18.9953,0.1034,137.1296,0.5848,18.9953,4.0000,0.0000,1.5171,0.6000,0.0000
237,2012-08-25,19.0998,0.1034,98.9285,0.5817,19.0998,4.0000,0.0000,1.5171,0.6000,0.0000
238,2012-08-26,18.8437,0.1030,74.4624,0.5785,18.8437,4.0000,0.0000,1.5171,0.6000,0.0000
239,2012-08-27,18.6429,0.1034,137.4710,0.5754,18.6429,4.0000,0.0000,1.5171,0.6000,0.0000
240,2012-08-28,17.8969,0.1774,202.7968,0.5723,17.8969,4.0000,0.0000,1.5171,0.6000,0.0000
241,2012-08-29,18.2996,0.1268,200.3851,0.5691,18.2996,4.0000,0.0000,1.5171,0.6000,0.0000
242,2012-08-30,18.6470,0.1052,215.4556,0.5659,18.6470,4.0000,0.0000,1.5171,0.6000,0.0000
243,2012-08-31,18.6840,0.1019,149.2399,0.5628,18.6840,4.0000,0.0000,1.5171,0.6000,0.0000
244,2012-09-01,18.7442,0.1014,112.4292,0.5596,18.7442,4.0000,0.0000,1.5171,0.6000,0.0000
245,2012-09-02,18.3816,0.1024,151.1421,0.5564,18.3816,4.0000,0.0000,1.5171,0.6000,0.0000
246,2012-09-03,18.1105,0.1021,129.3270,0.5532,18.1105,4.0000,0.0000,1.5171,0.6000,0.0000
247,2012-09-04,18.1324,0.1062,168.7875,0.5500,18.1324,4.0000,0.0000,1.5171,0.6000,0.0000
248,2012-09-05,18.0797,0.1075,139.3501,0.5468,18.0797,4.0000,0.0000,1.5171,0.6000,0.0000
249,2012-09-06,17.3177,0.3810,149.6368,0.5436,17.3177,4.0000,0.0000,1.5171,0.6000,0.0000
250,2012-09-07,16.4201,0.9215,67.7317,0.5404,16.4201,4.0000,0.0000,1.5171,0.6000,0.0000
251,2012-09-08,15.8237,2.2078,111.6377,0.5372,15.8237,4.0000,0.0000,1.5171,0.6000,0.0000
252,2012-09-09,15.3647,3.8233,174.7287,0.5339,15.3647,4.0000,0.0000,1.5171,0.6000,0.0000
253,2012-09-10,15.5916,1.4474,183.3081,0.5307,15.5916,4.0000,0.0000,1.5171,0.6000,0.0000
254,2012-09-11,16.3869,0.5132,179.5384,0.5275,16.3869,4.0000,0.0000,1.5171,0.6000,0.0000
255,2012-09-12,16.9125,0.3811,59.8064,0.5243,16.9125,4.0000,0.0000,1.5171,0.6000,0.0000
256,2012-09-13,16.5847,0.4623,38.6357,0.5210,16.5847,4.0000,0.0000,1.5171,0.6000,0.0000
257,2012-09-14,15.9617,0.3151,106.6383,0.5178,15.9617,4.0000,0.0000,1.5171,0.6000,0.0000
258,2012-09-15,15.6092,0.1862,103.0090,0.5146,15.6092,4.0000,0.0000,1.5171,0.6000,0.0000
259,2012-09-16,15.3659,0.2941,110.1094,0.5113,15.3659,4.0000,0.0000,1.5171,0.6000,0.0000
260,2012-09-17,15.6275,0.2167,151.1113,0.5081,15.6275,4.0000,0.0000,1.5171,0.6000,0.0000
261,2012-09-18,16.1923,0.1748,147.5947,0.5049,16.1923,4.0000,0.0000,1.5171,0.6000,0.0000
262,2012-09-19,16.1854,0.2220,36.3755,0.5016,16.1854,4.0000,0.0000,1.5171,0.6000,0.0000
263,2012-09-20,15.2007,0.3676,120.7695,0.4984,15.2007,4.0000,0.0000,1.5171,0.6000,0.0000
264,2012-09-21,14.6962,0.3048,119.1818,0.4951,14.6962,4.0000,0.0000,1.5171,0.6000,0.0000
265,2012-09-22,14.2484,0.1962,57.1372,0.4919,14.2484,4.0000,0.0000,1.5171,0.6000,0.0000
266,2012-09-23,13.7256,0.5243,99.2923,0.4887,13.7256,4.0000,0.0000,1.5171,0.6000,0.0000
267,2012-09-24,13.8891,3.5880,115.8815,0.4854,13.8891,4.0000,0.0000,1.5171,0.6000,0.0000
268,2012-09-25,13.3295,2.2461,45.7093,0.4822,13.3295,4.0000,0.0000,1.5171,0.6000,0.0000
269,2012-09-26,13.5124,0.8722,140.2230,0.4790,13.5124,4.0000,0.0000,1.5171,0.6000,0.0000
270,2012-09-27,14.2521,0.3769,83.7948,0.4757,14.2521,4.0000,0.0000,1.5171,0.6000,0.0000
271,2012-09-28,14.1708,0.2766,93.6628,0.4725,14.1708,4.0000,0.0000,1.5171,0.6000,0.0000
272,2012-09-29,13.9964,0.2082,116.1818,0.4693,13.9964,4.0000,0.0000,1.5171,0.6000,0.0000
273,2012-09-30,13.7913,0.2045,93.6376,0.4661,13.7913,4.0000,0.0000,1.5171,0.6000,0.0000
274,2012-10-01,13.5890,0.2006,116.9866,0.4628,13.5890,4.0000,0.0000,1.5171,0.6000,0.0000
275,2012-10-02,13.7586,0.1690,78.9506,0.4596,13.7586,4.0000,0.0000,1.5171,0.6000,0.0000
276,2012-10-03,13.9217,0.1632,82.8437,0.4564,13.9217,4.0000,0.0000,1.5171,0.6000,0.0000
277,2012-10-04,13.9657,0.1426,85.2504,0.4532,13.9657,4.0000,0.0000,1.5171,0.6000,0.0000
278,2012-10-05,13.7371,0.1348,89.9139,0.4500,13.7371,4.0000,0.0000,1.5171,0.6000,0.0000
279,2012-10-06,12.8220,0.1384,52.0422,0.4468,12.8220,4.0000,0.0000,1.5171,0.6000,0.0000
280,2012-10-07,12.0803,0.1694,86.6847,0.4436,12.0803,4.0000,0.0000,1.5171,0.6000,0.0000
281,2012-10-08,11.6124,0.3014,79.1726,0.4404,11.6124,4.0000,0.0000,1.5171,0.6000,0.0000
282,2012-10-09,11.1083,0.4563,50.4720,0.4372,11.1083,4.0000,0.0000,1.5171,0.6000,0.0000
283,2012-10-10,10.6488,1.9307,88.8632,0.4341,10.6488,4.0000,0.0000,1.5171,0.6000,0.0000
284,2012-10-11,10.2442,1.6478,67.9269,0.4309,10.2442,4.0000,0.0000,1.5171,0.6000,0.0000
285,2012-10-12,9.9629,0.8431,77.5410,0.4277,9.9629,4.0000,0.0000,1.5171,0.6000,0.0000
286,2012-10-13,9.6820,0.3134,25.4118,0.4246,9.6820,4.0000,0.0000,1.5171,0.6000,0.0000
287,2012-10-14,9.6373,0.1810,66.1586,0.4215,9.6373,4.0000,0.0000,1.5171,0.6000,0.0000
288,2012-10-15,9.9023,0.1264,30.6104,0.4183,9.9023,4.0000,0.0000,1.5171,0.6000,0.0000
289,2012-10-16,10.2564,0.1141,59.1920,0.4152,10.2564,4.0000,0.0000,1.5171,0.6000,0.0000
290,2012-10-17,10.4109,0.1109,73.4329,0.4121,10.4109,4.0000,0.0000,1.5171,0.6000,0.0000
291,2012-10-18,10.4178,0.1050,84.6785,0.4090,10.4178,4.0000,0.0000,1.5171,0.6000,0.0000
292,2012-10-19,10.7578,0.1021,88.7845,0.4059,10.7578,4.0000,0.0000,1.5171,0.6000,0.0000
293,2012-10-20,11.1788,0.1016,86.9074,0.4028,11.1788,4.0000,0.0000,1.5171,0.6000,0.0000
294,2012-10-21,11.4242,0.1014,60.6408,0.3998,11.4242,4.0000,0.0000,1.5171,0.6000,0.0000
295,2012-10-22,11.5237,0.1036,35.9092,0.3967,11.5237,4.0000,0.0000,1.5171,0.6000,0.0000
296,2012-10-23,11.1081,0.1028,35.2239,0.3937,11.1081,4.0000,0.0000,1.5171,0.6000,0.0000
297,2012-10-24,10.6758,0.1012,45.4170,0.3907,10.6758,4.0000,0.0000,1.5171,0.6000,0.0000
298,2012-10-25,10.0388,0.1008,13.2457,0.3877,10.0388,4.0000,0.0000,1.5171,0.6000,0.0000
299,2012-10-26,8.4851,0.6307,66.9403,0.3847,8.4851,4.0000,0.0000,1.5171,0.6000,0.0000
300,2012-10-27,7.5942,0.3136,41.3590,0.3818,7.5942,4.0000,0.0000,1.5171,0.6000,0.0000
301,2012-10-28,7.0216,0.1575,71.7492,0.3788,7.0216,4.0000,0.0000,1.5171,0.6000,0.0000
302,2012-10-29,6.6428,0.1148,71.0578,0.3759,6.6428,4.0000,0.0000,1.5171,0.6000,0.0000
303,2012-10-30,6.1085,0.1008,54.2144,0.3730,6.1085,4.0000,0.0000,1.5171,0.6000,0.0000
304,2012-10-31,5.8206,0.0999,60.3046,0.3701,5.8206,4.0000,0.0000,1.5171,0.6000,0.0000
305,2012-11-01,5.7932,0.0996,61.7879,0.3673,5.7932,4.0000,0.0000,1.5171,0.6000,0.0000
306,2012-11-02,6.3954,0.0993,40.6963,0.3644,6.3954,4.0000,0.0000,1.5171,0.6000,0.0000
307,2012-11-03,6.6177,0.0990,30.2113,0.3616,6.6177,4.0000,0.0000,1.5171,0.6000,0.0000
308,2012-11-04,6.6593,0.0992,38.2347,0.3588,6.6593,4.0000,0.0000,1.5171,0.6000,0.0000
309,2012-11-05,6.5408,0.1039,11.7274,0.3561,6.5408,4.0000,0.0000,1.5171,0.6000,0.0000
310,2012-11-06,6.4051,0.8175,36.3797,0.3534,6.4051,4.0000,0.0000,1.5171,0.6000,0.0000
311,2012-11-07,6.3134,1.2616,39.2109,0.3507,6.3134,4.0000,0.0000,1.5171,0.6000,0.0000
312,2012-11-08,6.7371,2.4480,21.9516,0.3480,6.7371,4.0000,0.0000,1.5171,0.6000,0.0000
313,2012-11-09,6.7641,1.3927,31.5100,0.3454,6.7641,4.0000,0.0000,1.5171,0.6000,0.0000
314,2012-11-10,6.6282,0.4601,23.8933,0.3428,6.6282,4.0000,0.0000,1.5171,0.6000,0.0000
315,2012-11-11,6.5825,0.1400,27.9212,0.3402,6.5825,4.0000,0.0000,1.5171,0.6000,0.0000
316,2012-11-12,6.7775,0.1124,39.1631,0.3377,6.7775,4.0000,0.0000,1.5171,0.6000,0.0000
317,2012-11-13,6.6002,0.1108,38.1042,0.3352,6.6002,4.0000,0.0000,1.5171,0.6000,0.0000
318,2012-11-14,6.4042,0.1074,24.2710,0.3328,6.4042,4.0000,0.0000,1.5171,0.6000,0.0000
319,2012-11-15,6.1813,0.1023,15.0224,0.3304,6.1813,4.0000,0.0000,1.5171,0.6000,0.0000
320,2012-11-16,6.0937,0.1014,24.0378,0.3280,6.0937,4.0000,0.0000,1.5171,0.6000,0.0000
321,2012-11-17,5.7328,0.1002,14.1266,0.3257,5.7328,4.0000,0.0000,1.5171,0.6000,0.0000
322,2012-11-18,5.2220,0.0994,11.6960,0.3235,5.2220,4.0000,0.0000,1.5171,0.6000,0.0000
323,2012-11-19,5.0796,0.0992,32.3858,0.3212,5.0796,4.0000,0.0000,1.5171,0.6000,0.0000
324,2012-11-20,5.0316,0.0991,24.2747,0.3191,5.0316,4.0000,0.0000,1.5171,0.6000,0.0000
325,2012-11-21,4.8774,0.0991,12.4290,0.3170,4.8774,4.0000,0.0000,1.5171,0.6000,0.0000
326,2012-11-22,4.6894,0.0991,16.3905,0.3149,4.6894,4.0000,0.0000,1.5171,0.6000,0.0000
327,2012-11-23,4.7533,0.0990,26.4962,0.3129,4.7533,4.0000,0.0000,1.5171,0.6000,0.0000
328,2012-11-24,4.7515,0.0988,6.4280,0.3109,4.7515,4.0000,0.0000,1.5171,0.6000,0.0000
329,2012-11-25,4.7312,0.0986,19.4817,0.3090,4.7312,4.0000,0.0000,1.5171,0.6000,0.0000
330,2012-11-26,4.7363,0.0985,19.3785,0.3072,4.7363,4.0000,0.0000,1.5171,0.6000,0.0000
331,2012-11-27,4.6093,0.0984,4.3951,0.3054,4.6093,4.0000,0.0000,1.5171,0.6000,0.0000
332,2012-11-28,4.6438,0.0982,12.3742,0.3037,4.6438,4.0000,0.0000,1.5171,0.6000,0.0000
333,2012-11-29,4.5179,0.0977,5.7357,0.3020,4.5179,4.0000,0.0000,1.5171,0.6000,0.0000
334,2012-11-30,3.8724,0.1254,15.6641,0.3004,3.8724,4.0000,0.0000,1.5171,0.6000,0.0000
335,2012-12-01,3.3054,0.1095,26.5201,0.2989,3.3054,4.0000,0.0000,1.5171,0.6000,0.0000
336,2012-12-02,2.8524,0.0981,23.7333,0.2975,2.8524,4.0000,0.0000,1.5171,0.6000,0.0000
337,2012-12-03,2.4111,0.0979,19.7436,0.2961,2.4111,4.0000,0.0000,1.5171,0.6000,0.0000
338,2012-12-04,1.7823,0.0981,19.8063,0.2948,1.7823,4.0000,0.0000,1.5171,0.6000,0.0000
339,2012-12-05,1.5325,0.0984,16.1558,0.2935,1.5325,4.0000,0.0000,1.5171,0.6000,0.0000
340,2012-12-06,1.1291,0.0982,26.5332,0.2924,1.1291,4.0000,0.0000,1.5171,0.6000,0.0000
341,2012-12-07,0.3465,0.0983,25.3737,0.2913,0.3465,4.0000,0.0000,1.5171,0.6000,0.0000
342,2012-12-08,0.0543,0.0983,12.7978,0.2903,0.0543,4.0000,0.0000,1.5171,0.6000,0.0000
343,2012-12-09,-0.0055,0.0985,17.1334,0.2894,-0.0055,4.0000,0.0000,1.5171,0.6000,0.0000
344,2012-12-10,-0.0057,0.0987,15.0143,0.2885,-0.0057,4.0000,0.0000,1.5171,0.6000,0.0000
345,2012-12-11,-0.0060,0.1069,13.4753,0.2877,-0.0060,4.0000,0.0000,1.5171,0.6000,0.0000
346,2012-12-12,-0.0003,0.1058,13.4150,0.2870,-0.0003,4.0000,0.0000,1.5171,0.6000,0.0000
347,2012-12-13,0.0103,0.1016,12.8510,0.2864,0.0103,4.0000,0.0000,1.5171,0.6000,0.0000
348,2012-12-14,0.0404,0.0993,25.4387,0.2859,0.0404,4.0000,0.0000,1.5171,0.6000,0.0000
349,2012-12-15,0.0389,0.0987,8.5257,0.2855,0.0389,4.0000,0.0000,1.5171,0.6000,0.0000
350,2012-12-16,0.0318,0.0984,6.6174,0.2851,0.0318,4.0000,0.0000,1.5171,0.6000,0.0000
351,2012-12-17,0.0408,0.0981,12.6934,0.2848,0.0408,4.0000,0.0000,1.5171,0.6000,0.0000
352,2012-12-18,0.0473,0.0979,9.8603,0.2846,0.0473,4.0000,0.0000,1.5171,0.6000,0.0000
353,2012-12-19,0.0457,0.0978,7.5532,0.2845,0.0457,4.0000,0.0000,1.5171,0.6000,0.0000
354,2012-12-20,0.0559,0.0978,10.0677,0.2845,0.0559,4.0000,0.0000,1.5171,0.6000,0.0000
355,2012-12-21,0.0700,0.0980,15.2343,0.2846,0.0700,4.0000,0.0000,1.5171,0.6000,0.0000
356,2012-12-22,0.0917,0.0982,15.5021,0.2847,0.0917,4.0000,0.0000,1.5171,0.6000,0.0000
357,2012-12-23,0.1003,0.0984,17.5163,0.2850,0.1003,4.0000,0.0000,1.5171,0.6000,0.0000
358,2012-12-24,0.0834,0.0984,4.5430,0.2853,0.0834,4.0000,0.0000,1.5171,0.6000,0.0000
359,2012-12-25,0.0780,0.0979,6.7000,0.2857,0.0780,4.0000,0.0000,1.5171,0.6000,0.0000
360,2012-12-26,0.0790,0.0976,5.6428,0.2862,0.0790,4.0000,0.0000,1.5171,0.6000,0.0000
361,2012-12-27,0.0874,0.0974,9.0714,0.2867,0.0874,4.0000,0.0000,1.5171,0.6000,0.0000
362,2012-12-28,0.1069,0.1034,26.3577,0.2874,0.1069,4.0000,0.0000,1.5171,0.6000,0.0000
363,2012-12-29,0.1309,0.1042,8.2736,0.2881,0.1309,4.0000,0.0000,1.5171,0.6000,0.0000
364,2012-12-30,0.1636,0.0977,20.2825,0.2889,0.1636,4.0000,0.0000,1.5171,0.6000,0.0000
365,2012-12-31,0.2043,0.0974,8.6559,0.2898,0.2043,4.0000,0.0000,1.5171,0.6000,0.0000
366,2013-01-01,0.2173,0.0974,8.0873,0.2898,0.2173,4.0000,0.0000,1.5171,0.6000,0.0000
367,2013-01-02,0.2297,0.0973,17.3490,0.2908,0.2297,4.0000,0.0000,1.5171,0.6000,0.0000
368,2013-01-03,0.2256,0.0968,5.6872,0.2918,0.2256,4.0000,0.0000,1.5171,0.6000,0.0000
369,2013-01-04,0.2372,0.0998,27.0122,0.2930,0.2372,4.0000,0.0000,1.5171,0.6000,0.0000
370,2013-01-05,0.3134,0.1114,15.4134,0.2942,0.3134,4.0000,0.0000,1.5171,0.6000,0.0000
371,2013-01-06,0.4467,0.1102,26.4223,0.2954,0.4467,4.0000,0.0000,1.5171,0.6000,0.0000
372,2013-01-07,0.3801,0.1021,15.4372,0.2968,0.3801,4.0000,0.0000,1.5171,0.6000,0.0000
373,2013-01-08,0.2473,0.0995,13.2555,0.2982,0.2473,4.0000,0.0000,1.5171,0.6000,0.0000
374,2013-01-09,0.1827,0.0986,11.3457,0.2997,0.1827,4.0000,0.0000,1.5171,0.6000,0.0000
375,2013-01-10,0.1601,0.0980,6.8723,0.3012,0.1601,4.0000,0.0000,1.5171,0.6000,0.0000
376,2013-01-11,0.1171,0.1176,14.7952,0.3029,0.1171,4.0000,0.0000,1.5171,0.6000,0.0000
377,2013-01-12,0.1543,0.1045,17.5518,0.3045,0.1543,4.0000,0.0000,1.5171,0.6000,0.0000
378,2013-01-13,0.1776,0.0984,23.9037,0.3063,0.1776,4.0000,0.0000,1.5171,0.6000,0.0000
379,2013-01-14,0.1870,0.0983,15.7609,0.3081,0.1870,4.0000,0.0000,1.5171,0.6000,0.0000
380,2013-01-15,0.1957,0.0983,13.7973,0.3100,0.1957,4.0000,0.0000,1.5171,0.6000,0.0000
381,2013-01-16,0.2105,0.0982,16.7918,0.3119,0.2105,4.0000,0.0000,1.5171,0.6000,0.0000
382,2013-01-17,0.2281,0.0983,17.5465,0.3139,0.2281,4.0000,0.0000,1.5171,0.6000,0.0000
383,2013-01-18,0.2520,0.0984,18.4758,0.3159,0.2520,4.0000,0.0000,1.5171,0.6000,0.0000
384,2013-01-19,0.2480,0.0986,22.9773,0.3180,0.2480,4.0000,0.0000,1.5171,0.6000,0.0000
385,2013-01-20,0.2520,0.0988,20.8487,0.3202,0.2520,4.0000,0.0000,1.5171,0.6000,0.0000
386,2013-01-21,0.2762,0.0990,20.3515,0.3223,0.2762,4.0000,0.0000,1.5171,0.6000,0.0000
387,2013-01-22,0.2657,0.0992,24.2064,0.3246,0.2657,4.0000,0.0000,1.5171,0.6000,0.0000
388,2013-01-23,0.2798,0.0993,28.8615,0.3269,0.2798,4.0000,0.0000,1.5171,0.6000,0.0000
389,2013-01-24,0.3384,0.0993,38.9719,0.3292,0.3384,4.0000,0.0000,1.5171,0.6000,0.0000
390,2013-01-25,0.4046,0.0993,33.6999,0.3316,0.4046,4.0000,0.0000,1.5171,0.6000,0.0000
391,2013-01-26,0.3809,0.0993,27.9110,0.3340,0.3809,4.0000,0.0000,1.5171,0.6000,0.0000
392,2013-01-27,0.3350,0.0994,19.9866,0.3365,0.3350,4.0000,0.0000,1.5171,0.6000,0.0000
393,2013-01-28,0.3126,0.0993,15.2301,0.3390,0.3126,4.0000,0.0000,1.5171,0.6000,0.0000
394,2013-01-29,0.3185,0.0991,15.6478,0.3415,0.3185,4.0000,0.0000,1.5171,0.6000,0.0000
395,2013-01-30,0.3267,0.0986,6.1553,0.3441,0.3267,4.0000,0.0000,1.5171,0.6000,0.0000
396,2013-01-31,0.2614,0.1095,11.6150,0.3467,0.2614,4.0000,0.0000,1.5171,0.6000,0.0000
397,2013-02-01,0.2815,0.1250,51.2701,0.3494,0.2815,4.0000,0.0000,1.5171,0.6000,0.0000
398,2013-02-02,0.3600,0.1085,23.1451,0.3520,0.3600,4.0000,0.0000,1.5171,0.6000,0.0000
399,2013-02-03,0.4104,0.1136,40.0823,0.3547,0.4104,4.0000,0.0000,1.5171,0.6000,0.0000
400,2013-02-04,0.4403,0.1014,31.8737,0.3575,0.4403,4.0000,0.0000,1.5171,0.6000,0.0000
401,2013-02-05,0.4491,0.0989,36.4534,0.3602,0.4491,4.0000,0.0000,1.5171,0.6000,0.0000
402,2013-02-06,0.4663,0.0984,43.9505,0.3630,0.4663,4.0000,0.0000,1.5171,0.6000,0.0000
403,2013-02-07,0.5108,0.0983,40.2777,0.3658,0.5108,4.0000,0.0000,1.5171,0.6000,0.0000
404,2013-02-08,0.5738,0.0982,35.0595,0.3687,0.5738,4.0000,0.0000,1.5171,0.6000,0.0000
405,2013-02-09,0.6027,0.0982,43.7498,0.3716,0.6027,4.0000,0.0000,1.5171,0.6000,0.0000
406,2013-02-10,0.5949,0.0985,37.3986,0.3744,0.5949,4.0000,0.0000,1.5171,0.6000,0.0000
407,2013-02-11,0.5634,0.0988,47.0300,0.3774,0.5634,4.0000,0.0000,1.5171,0.6000,0.0000
408,2013-02-12,0.5335,0.0990,43.6932,0.3803,0.5335,4.0000,0.0000,1.5171,0.6000,0.0000
409,2013-02-13,0.5269,0.0991,36.2249,0.3832,0.5269,4.0000,0.0000,1.5171,0.6000,0.0000
410,2013-02-14,0.5212,0.0991,37.4589,0.3862,0.5212,4.0000,0.0000,1.5171,0.6000,0.0000
411,2013-02-15,0.5279,0.0990,39.0388,0.3892,0.5279,4.0000,0.0000,1.5171,0.6000,0.0000
412,2013-02-16,0.5655,0.0989,52.2858,0.3922,0.5655,4.0000,0.0000,1.5171,0.6000,0.0000
413,2013-02-17,0.5835,0.0988,23.8138,0.3952,0.5835,4.0000,0.0000,1.5171,0.6000,0.0000
414,2013-02-18,0.5772,0.0986,19.5501,0.3983,0.5772,4.0000,0.0000,1.5171,0.6000,0.0000
415,2013-02-19,0.5829,0.0983,41.3782,0.4013,0.5829,4.0000,0.0000,1.5171,0.6000,0.0000
416,2013-02-20,0.6574,0.0983,63.2938,0.4044,0.6574,4.0000,0.0000,1.5171,0.6000,0.0000
417,2013-02-21,0.6853,0.0985,77.2722,0.4075,0.6853,4.0000,0.0000,1.5171,0.6000,0.0000
418,2013-02-22,0.6632,0.0987,52.1268,0.4106,0.6632,4.0000,0.0000,1.5171,0.6000,0.0000
419,2013-02-23,0.6881,0.0989,81.5577,0.4137,0.6881,4.0000,0.0000,1.5171,0.6000,0.0000
420,2013-02-24,0.7960,0.0989,91.1576,0.4168,0.7960,4.0000,0.0000,1.5171,0.6000,0.0000
421,2013-02-25,0.8666,0.0989,46.5988,0.4199,0.8666,4.0000,0.0000,1.5171,0.6000,0.0000
422,2013-02-26,0.9042,0.0988,47.0911,0.4230,0.9042,4.0000,0.0000,1.5171,0.6000,0.0000
423,2013-02-27,0.9824,0.0986,81.7452,0.4262,0.9824,4.0000,0.0000,1.5171,0.6000,0.0000
424,2013-02-28,1.1148,0.0983,75.8593,0.4293,1.1148,4.0000,0.0000,1.5171,0.6000,0.0000
425,2013-03-01,1.1709,0.0982,107.8023,0.4325,1.1709,4.0000,0.0000,1.5171,0.6000,0.0000
426,2013-03-02,1.1524,0.1092,77.2780,0.4357,1.1524,4.0000,0.0000,1.5171,0.6000,0.0000
427,2013-03-03,1.0413,0.1792,93.0429,0.4388,1.0413,4.0000,0.0000,1.5171,0.6000,0.0000
428,2013-03-04,1.0038,0.2714,116.1308,0.4420,1.0038,4.0000,0.0000,1.5171,0.6000,0.0000
429,2013-03-05,1.2199,0.1674,105.6828,0.4452,1.2199,4.0000,0.0000,1.5171,0.6000,0.0000
430,2013-03-06,1.3921,0.1211,126.7325,0.4484,1.3921,4.0000,0.0000,1.5171,0.6000,0.0000
431,2013-03-07,1.4174,0.1059,123.0375,0.4516,1.4174,4.0000,0.0000,1.5171,0.6000,0.0000
432,2013-03-08,1.4252,0.1004,126.3935,0.4548,1.4252,4.0000,0.0000,1.5171,0.6000,0.0000
433,2013-03-09,1.3794,0.0995,134.1328,0.4580,1.3794,4.0000,0.0000,1.5171,0.6000,0.0000
434,2013-03-10,0.8735,0.0994,81.0420,0.4612,0.8735,4.0000,0.0000,1.5171,0.6000,0.0000
435,2013-03-11,0.7920,0.0993,121.0184,0.4644,0.7920,4.0000,0.0000,1.5171,0.6000,0.0000
436,2013-03-12,1.0373,0.0994,119.3077,0.4677,1.0373,4.0000,0.0000,1.5171,0.6000,0.0000
437,2013-03-13,1.2527,0.0994,144.0143,0.4709,1.2527,4.0000,0.0000,1.5171,0.6000,0.0000
438,2013-03-14,1.4624,0.0995,138.7268,0.4741,1.4624,4.0000,0.0000,1.5171,0.6000,0.0000
439,2013-03-15,1.5633,0.0996,155.7791,0.4773,1.5633,4.0000,0.0000,1.5171,0.6000,0.0000
440,2013-03-16,1.4735,0.0997,153.2505,0.4806,1.4735,4.0000,0.0000,1.5171,0.6000,0.0000
441,2013-03-17,1.6640,0.0998,161.3105,0.4838,1.6640,4.0000,0.0000,1.5171,0.6000,0.0000
442,2013-03-18,1.8005,0.0997,164.9484,0.4870,1.8005,4.0000,0.0000,1.5171,0.6000,0.0000
443,2013-03-19,1.7783,0.0996,77.1000,0.4903,1.7783,4.0000,0.0000,1.5171,0.6000,0.0000
444,2013-03-20,1.5998,0.0997,126.0714,0.4935,1.5998,4.0000,0.0000,1.5171,0.6000,0.0000
445,2013-03-21,1.6522,0.0998,117.5720,0.4968,1.6522,4.0000,0.0000,1.5171,0.6000,0.0000
446,2013-03-22,1.6866,0.0998,170.2780,0.5000,1.6866,4.0000,0.0000,1.5171,0.6000,0.0000
447,2013-03-23,1.5946,0.1000,161.5064,0.5032,1.5946,4.0000,0.0000,1.5171,0.6000,0.0000
448,2013-03-24,1.7211,0.1000,130.5866,0.5065,1.7211,4.0000,0.0000,1.5171,0.6000,0.0000
449,2013-03-25,1.8416,0.1000,139.9760,0.5097,1.8416,4.0000,0.0000,1.5171,0.6000,0.0000
450,2013-03-26,2.0743,0.0999,185.7349,0.5130,2.0743,4.0000,0.0000,1.5171,0.6000,0.0000
451,2013-03-27,2.3634,0.0998,184.4567,0.5162,2.3634,4.0000,0.0000,1.5171,0.6000,0.0000
452,2013-03-28,2.5697,0.0998,184.8606,0.5194,2.5697,4.0000,0.0000,1.5171,0.6000,0.0000
453,2013-03-29,2.3666,0.0999,133.7013,0.5227,2.3666,4.0000,0.0000,1.5171,0.6000,0.0000
454,2013-03-30,2.0563,0.0998,97.5581,0.5259,2.0563,4.0000,0.0000,1.5171,0.6000,0.0000
455,2013-03-31,1.8752,0.1028,80.1456,0.5291,1.8752,4.0000,0.0000,1.5171,0.6000,0.0000
456,2013-04-01,1.6445,0.2995,61.1648,0.5323,1.6445,4.0000,0.0000,1.5171,0.6000,0.0000
457,2013-04-02,1.6178,0.9554,147.2830,0.5356,1.6178,4.0000,0.0000,1.5171,0.6000,0.0000
458,2013-04-03,2.3384,0.3637,207.0120,0.5388,2.3384,4.0000,0.0000,1.5171,0.6000,0.0000
459,2013-04-04,2.7154,0.1742,56.7978,0.5420,2.7154,4.0000,0.0000,1.5171,0.6000,0.0000
460,2013-04-05,2.6410,0.1662,100.7962,0.5452,2.6410,4.0000,0.0000,1.5171,0.6000,0.0000
461,2013-04-06,2.9194,0.2128,212.0558,0.5484,2.9194,4.0000,0.0000,1.5171,0.6000,0.0000
462,2013-04-07,3.3830,0.1451,180.8842,0.5516,3.3830,4.0000,0.0000,1.5171,0.6000,0.0000
463,2013-04-08,3.4641,0.1186,135.0760,0.5548,3.4641,4.0000,0.0000,1.5171,0.6000,0.0000
464,2013-04-09,3.5969,0.1189,167.6361,0.5580,3.5969,4.0000,0.0000,1.5171,0.6000,0.0000
465,2013-04-10,4.0429,0.1083,179.2999,0.5612,4.0429,4.0000,0.0000,1.5171,0.6000,0.0000
466,2013-04-11,4.6010,0.1043,113.4678,0.5643,4.6010,4.0000,0.0000,1.5171,0.6000,0.0000
467,2013-04-12,5.3742,0.1012,155.0994,0.5675,5.3742,4.0000,0.0000,1.5171,0.6000,0.0000
468,2013-04-13,6.0598,0.0999,151.8510,0.5707,6.0598,4.0000,0.0000,1.5171,0.6000,0.0000
